08:22:14.341 [main] INFO  resources.base - Driver Initialized
08:22:22.533 [main] INFO  resources.base - Shop Packages Page Header Verified
08:22:25.830 [main] INFO  resources.base - Shopping Cart Page Header Verified
08:22:30.750 [main] INFO  resources.base - Account History Page Header Verified
08:22:34.566 [main] INFO  resources.base - Pay Balance Page Header Verified
08:22:36.760 [main] INFO  resources.base - Select Classes Page Header Verified
08:22:37.620 [main] INFO  resources.base - Manage Profile Page Header Verified
08:22:41.574 [main] INFO  resources.base - Appointments Page Header Verified
08:22:44.297 [main] INFO  resources.base - Manage Family Page Header Verified
08:22:49.564 [main] INFO  resources.base - Manage Profile Page Header Verified
08:22:57.523 [main] INFO  resources.base - Forgot Username Page Header Verified
08:22:58.002 [main] INFO  resources.base - Forgot Password Page Header Verified
